Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
9/20/2018,Cash,Transportation,Train,2 Place 5 to Place 0,30,Expense,INR
9/20/2018,Cash,Food,snacks,Idli medu Vada mix 2 plates,60,Expense,INR
9/19/2018,Saving Bank account 1,subscription,Netflix,1 month subscription,199,Expense,INR
9/17/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19,Expense,INR
9/16/2018,Cash,Festivals,Ganesh Pujan,Ganesh idol,251,Expense,INR
9/15/2018,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200,Expense,INR
9/14/2018,Cash,Transportation,auto,Place 2 station to Permanent Residence,50,Expense,INR
9/13/2018,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40,Expense,INR
9/13/2018,Credit Card,Other,,HBR 2 Months subscription,83,Expense,INR
9/13/2018,Cash,Food,Grocery,1kg atta,46,Expense,INR
9/13/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Transfer-Out,INR
9/13/2018,Saving Bank account 1,Small cap fund 1,,,5000,Transfer-Out,INR
9/12/2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,667,Expense,INR
9/11/2018,Saving Bank account 1,Food,Lunch,Home Food Delivery,650,Expense,INR
9/11/2018,Saving Bank account 1,Other,,From Family,3500,Income,INR
9/11/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
